Designator,Mid X,Mid Y,Rotation,Layer
C1,58.3365,-45.6635,90.0,top
C10,69.1,-43.5,270.0,top
C14,59.3365,-45.6635,90.0,top
C15,59.3865,-47.5635,270.0,top
C16,62.9,-43.6,180.0,top
C2,61.25,-35.15,180.0,top
C3,61.25,-36.15,180.0,top
C4,65.1,-44.125,0.0,top
C7,69.3,-41.5,270.0,top
C8,71.5,-37.7,180.0,top
C9,69.2,-39.5,90.0,top
D1,56.6,-46.2,90.0,top
D2,70.5,-39.8,90.0,top
D3,70.5,-43.2,270.0,top
D4,60.4,-43.8,0.0,top
D7,58.5,-37.6,90.0,top
D8,58.4,-42.3,270.0,top
FB1,58.3365,-47.5635,90.0,top
FB2,59.7,-35.7,90.0,top
IC1,66.0,-41.9,180.0,top
J3,70.65,-35.2,0.0,top
J5,72.0,-41.5,180.0,top
R1,67.075,-44.15,180.0,top
R10,58.3,-39.4,0.0,top
R2,66.5,-39.5,0.0,top
R5,68.1,-35.5,90.0,top
R6,68.2,-37.9,90.0,top
R9,58.3,-40.5,0.0,top
U2,65.4,-36.6,0.0,top
U3,61.949,-46.2,180.0,top
U4,61.0,-39.9,270.0,top
